image,well,cell_count,tissue,genet
mtt1-24hp3.t1.b0010-1.tif,1,343,bud,mtt1
mtt1-24hp3.t1.b0010-1.tif,1,260,bud,mtt1
mtt1-24hp3.t1.b0009-1.tif,1,257,bud,mtt1
mtt1-24hp3.t1.b0009-1.tif,1,250,bud,mtt1
mtt1-24hp3.t1.b0007-1.tif,1,247,bud,mtt1
mtt1-24hp3.t1.b0007-1.tif,1,195,bud,mtt1
mtt1-24hp3.t1.b0008-1.tif,1,181,bud,mtt1
mtt1-24hp3.t1.b0008-1.tif,1,157,bud,mtt1
mtt1-24hp3.t1.z0000-1.tif,1,493,zooid,mtt1
mtt1-24hp3.t1.z0004-1-1.tif,1,352,zooid,mtt1
mtt1-24hp3.t1.z0006-1.tif,1,318,zooid,mtt1
mtt1-24hp3.t1.z0002-1.tif,1,240,zooid,mtt1
mtt1-24hp3.t1.z0001-1.tif,1,198,zooid,mtt1
mtt1-24hp3.t1.z0005-1.tif,1,168,zooid,mtt1
mtt1-24hp3.t1.z0003-1.tif,1,141,zooid,mtt1
mtt1-24hp3.t2.b0027-1.tif,2,470,bud,mtt1
mtt1-24hp3.t2.b0027-1.tif,2,469,bud,mtt1
mtt1-24hp3.t2.z0021-1.tif,2,634,zooid,mtt1
mtt1-24hp3.t3.b0042-1.tif,3,344,bud,mtt1
mtt1-24hp3.t3.b0038-1.tif,3,115,bud,mtt1
mtt1-24hp3.t3.b0038-1.tif,3,108,bud,mtt1
mtt1-24hp3.t3.b0041-1.tif,3,77,bud,mtt1
mtt1-24hp3.t3.z0030-1.tif,3,681,zooid,mtt1
mtt1-24hp3.t3.z0031-1.tif,3,229,zooid,mtt1
mtt2-24h-b-t10204-1.tif,1,284,bud,mtt2
mtt2-24h-b-t10198-1.tif,1,150,bud,mtt2
mtt2-24h-b-t10201-1.tif,1,149,bud,mtt2
mtt2-24h-b-t10203-1.tif,1,116,bud,mtt2
Drawing of mtt2-24h-z-t20216.tif,2,318,zooid,mtt2
Drawing of mtt2-24h-z-t20217.tif,2,305,zooid,mtt2
Drawing of mtt2-24h-z-t20217.tif,2,222,zooid,mtt2
Drawing of mtt2-24h-z-t20215.tif,2,150,zooid,mtt2
mtt2-24h-z.real-t20222.tif,2,130,zooid,mtt2
mtt2-24h-z.real-t20221.tif,2,105,zooid,mtt2
Drawing of mtt2-24h-z-t20210.tif,2,95,zooid,mtt2
Drawing of mtt2-24h-z.real-t20220.tif,2,64,zooid,mtt2
Drawing of mtt2-24h-z-t20214.tif,2,60,zooid,mtt2
Drawing of mtt2-24h-z-t20218.tif,2,50,zooid,mtt2
mtt2-24h-b-t30232-1.tif,3,201,bud,mtt2
mtt2-24h-b-t30225-1.tif,3,120,bud,mtt2
mtt3-24h-b-t1-0274.tif,1,392,bud,mtt3
mtt3-24h-b-t1-0277.tif,1,320,bud,mtt3
mtt3-24h-b-t1-0278.tif,1,156,bud,mtt3
mtt3-24h-b-t1-0271.tif,1,134,bud,mtt3
mtt3-24h-b-t1-0280.tif,1,133,bud,mtt3
mtt3-24h-z-t1-0281.tif,1,244,zooid,mtt3
mtt3-24h-z-t1-0283.tif,1,174,zooid,mtt3
mtt3-24h-z-t1-0282.tif,1,155,zooid,mtt3
mtt3-24h-b-t2-0285.tif,2,226,bud,mtt3
mtt3-24h-b-t2-0287.tif,2,105,bud,mtt3
mtt3-24h-z-t2-0294.tif,2,236,zooid,mtt3
mtt3-24h-z-t2-0293.tif,2,79,zooid,mtt3
mtt3-24h-z-t2-0295.tif,2,34,zooid,mtt3
mtt3-24h-b-t3-0303.tif,3,263,bud,mtt3
mtt3-24h-b-t3-0301.tif,3,140,bud,mtt3