well,tissueWithCells_ID,cell_count,under_tissue?,magnefication,file_name,cell count method,date,experiment,plate_Number,well_Placements,treatment_mg_per_L,replicate,animal_ID,stage_2,stage_at_dissection,initials,hps,no_attached_tissue,no_mono_out,image,percent_media_replaced,tissue_total,prim_bud_no,zooid_no,float_prim,float_zooid,comments
a1,9,60,yes,400x,Pilot_nxb_a1_24hps_9_0890,manaul,10/01/2023,0,1,A1,5,R3,S160C001,late,C2,CV,18,8,1,y,0,9,2,7,0,1,
a2,NA,0,NA,NA,NA,NA,10/01/2023,0,1,A2,45,R4,S151C001,mid,B1,CV,18,10,0,y,0,10,0,10,0,0,
a3,NA,0,NA,NA,NA,NA,10/01/2023,0,1,A3,5,R2,S167C001,mid,B2,CV,18,5,0,y,0,7,1,6,1,1,
a4,NA,0,NA,NA,NA,NA,10/01/2023,0,1,A4,0,R3,S154C001,mid,C1,CV,18,4,0,y,0,5,2,3,0,1,
b1,NA,0,NA,NA,NA,NA,10/01/2023,0,1,B1,5,R4,S180C001,mid,C1,CV,18,7,0,y,0,7,7,0,0,0,
b2,NA,0,NA,NA,NA,NA,10/01/2023,0,1,B2,45,R3,S178C001,early,A2,CV,18,5,0,y,0,5,5,0,0,0,
b3,7,262,no,200x,Pilot_nxb_b3_18hps_7_0931,manaul,10/01/2023,0,1,B3,45,R1,S158C001,late,TO,CV,18,5,1,y,0,6,6,0,1,0,
b4,5,45,yes,400x,Pilot_nxb_b4_18hps_5_0940,manaul,10/01/2023,0,1,B4,5,R1,S147C001,late,TO,CV,18,6,1,y,0,8,8,0,2,0,
b4,5,31,yes,400x,Pilot_nxb_b4_18hps_5_0941,manaul,10/02/2023,0,1,B4,5,R2,S147C001,late,TO,CV,18,6,1,y,0,8,8,0,2,0,
c1,3,286,no,200x,Pilot_nxb_c1_18hps_3_0949,manaul,10/01/2023,0,1,C1,0,R2,S149C001,late,TO,CV,18,7,1,y,0,7,7,0,0,0,
c2,NA,0,NA,NA,NA,NA,10/01/2023,0,1,C2,0,R4,S148C001,late,TO,CV,18,1,0,y,0,2,1,0,1,0,
c3,7,188,no,400x,Pilot_nxb_c3_18hps_7_0961,manaul,10/01/2023,0,1,C3,45,R2,S162C001,late,C2,CV,18,7,1,y,0,8,2,6,1,0,
c4,2,96,no,200x,Pilot_nxb_c4_18hps_2_0002,manual,10/01/2023,0,1,C4,0,R1,S177C001,late,C2,CV,18,3,1,y,0,6,6,0,2,0,